MCXC,OName,AName,RAh,RAm,RAs,DE-,DEd,DEm,DEs,RAdeg,DEdeg,GLON,GLAT,z,Cat,Sub-Cat,Scale,L500,M500,R500,Notes,Cat1,Cat2,Cat3,Cat4,L500r1,L500r2,L500r3,L500r4,r
J0157.4-0550,RXCJ0157.4-0550,A0281,1,57,24.3,-,5,50,24,29.351,-5.84,162.283,-63.552,0.1289,NORAS/REFLEX,REFLEX,2.3,1.286803,2.1808,0.8779,"D,two maxima/NE-SW,losStr",SGP,,,,0.961,,,,
J0157.4+3213,A278,A0278,1,57,25.7,,32,13,26,29.357,32.224,138.812,-28.605,0.0894,BCS,eBCS,1.669,0.650792,1.48,0.7817,,,,,,,,,,-0.46578700760800074
J0158.4-0146,RXC J0158.4-0146,A0286,1,58,28.4,-,1,46,51,29.618,-1.781,158.119,-59.991,0.1632,SGP,SGP,2.803,1.449151,2.2867,0.8815,,,,,,,,,,
J0159.3+0030,BVH2007 20,VMF98 21,1,59,18.2,,0,30,9,29.826,0.502,156.249,-57.911,0.386,400SD,400SD_SER,5.257,2.114745,2.4175,0.8273,,160SD,,,,1.031,,,,
J0159.8-0850,MACSJ0159.8-0849,MCS  J0159.8-0849,1,59,49.4,-,8,50,1,29.956,-8.833,167.589,-65.587,0.405,MACS,MACS_MJFV,5.414,14.439212,9.1513,1.28,,,,,,,,,,
J0200.2+3126,RXC J0200.2+3126,NGC 0777,2,0,16.5,,31,26,11,30.069,31.437,139.737,-29.179,0.0168,NORAS/REFLEX,NORAS,0.342,0.040254,0.2848,0.4618,,,,,,,,,,-0.5006365330827899
J0201.7-0212,RXCJ0201.7-0212,A0291,2,1,44.2,-,2,12,3,30.434,-2.201,159.946,-59.921,0.196,NORAS/REFLEX,REFLEX,3.248,4.271815,4.3137,1.0767,,SGP,,,,0.9,,,,
J0201.7+0344,MS0159.1+0330,A0293,2,1,47.9,,3,44,55,30.449,3.749,154.441,-54.761,0.165,EMSS,EMSS_1994,2.828,0.533551,1.2418,0.7187,,,,,,,,,,
J0202.3-4447,RXC J0202.3-4447,,2,2,18.8,-,44,47,37,30.578,-44.794,268.816,-67.351,0.0616,SGP,SGP,1.188,0.200834,0.7366,0.6251,,,,,,,,,,-0.479422773644702
J0202.3-0107,RXCJ0202.3-0107,A0295,2,2,19.9,-,1,7,13,30.583,-1.12,159.067,-58.926,0.0427,NORAS/REFLEX,REFLEX,0.842,0.147336,0.6177,0.593,losStr,SGP,,,,0.98,,,,-0.4885663911019145
J0206.3+1511,RX J0206.3+1511,VMF98 22,2,6,23.4,,15,11,16,31.597,15.188,148.435,-43.941,0.248,160SD,160SD,3.887,0.345262,0.8941,0.6254,RDCS/RIXOS/WARPS1,WARPS,,,,0.682,,,,
J0206.4-1453,RXCJ0206.4-1453,A0305,2,6,30.0,-,14,53,38,31.625,-14.894,181.704,-68.681,0.1529,NORAS/REFLEX,REFLEX,2.656,1.768408,2.6016,0.9235,,SGP,,,,0.913,,,,
J0206.8-1309,BVH2007 21,VMF98 23,2,6,49.9,-,13,9,9,31.708,-13.153,178.248,-67.507,0.321,400SD,400SD_SER,4.665,1.15297,1.7606,0.763,,160SD,,,,1.027,,,,
J0209.5+1946,RXC J0209.5+1946,A0311,2,9,31.1,,19,46,10,32.38,19.77,146.955,-39.432,0.0657,NORAS/REFLEX,NORAS,1.261,0.541372,1.3447,0.7629,,eBCS,,,,0.778,,,,-0.47744987388448434
J0209.8-5116,BVH2007 22,,2,9,52.8,-,51,16,19,32.47,-51.272,276.67,-61.67,0.206,400SD,400SD_SER,3.377,0.299471,0.8467,0.6235,,,,,,,,,,
J0210.2-3932,RX J0210.2-3932,VMF98 24,2,10,13.8,-,39,32,51,32.557,-39.548,255.128,-69.462,0.168,160SD,160SD,2.87,0.054803,0.3093,0.4517,RDCS,WARPS,,,,1.001,,,,
J0210.4-3929,RX J0210.4-3929,VMF98 25,2,10,25.6,-,39,29,47,32.607,-39.496,254.948,-69.456,0.165,160SD,160SD,2.828,0.072773,0.3685,0.4794,RDCS/WARPS1,WARPS,,,,1.341,,,,
J0211.4-4017,RXCJ0211.4-4017,A2984,2,11,25.5,-,40,17,12,32.856,-40.287,256.555,-68.878,0.1008,NORAS/REFLEX,REFLEX,1.857,0.786378,1.6478,0.8072,,SGP,,,,0.927,,,,
